ST_PUMA,ST_CO_PUMA
1207302,1207300
1208101,1208100
1208102,1208100
1208103,1208100
1208301,1208300
1208302,1208300
1208303,1208300
1208500,1208500
1208601,1208626
1208602,1208626
1208603,1208626
1208604,1208626
1208605,1208626
1208606,1208626
1208607,1208626
1208608,1208626
1208609,1208626
1208610,1208626
1208611,1208626
1208612,1208626
1208613,1208626
1208614,1208626
1208615,1208626
1208616,1208626
1208617,1208626
1208618,1208626
1208619,1208626
1208620,1208626
1208621,1208626
1208622,1208626
1208623,1208626
1208624,1208626
1208625,1208626
1209101,1209100
1209102,1209100
1209501,1209500
1209502,1209500
1209503,1209500
1209504,1209500
1209505,1209500
1209506,1209500
1209507,1209500
1209508,1209500
1209509,1209500
1209510,1209500
1209701,1209700
1209702,1209700
1209703,1209700
1209901,1209900
1209902,1209900
1209903,1209900
1209904,1209900
1209905,1209900
1209906,1209900
1209907,1209900
1209908,1209900
1209909,1209900
1209910,1209900
1209911,1209900
1210101,1210100
1210102,1210100
1210103,1210100
1210104,1210100
1210301,1210300
1210302,1210300
1210303,1210300
1210304,1210300
1210305,1210300
1210306,1210300
1210307,1210300
1210308,1210300
1210501,1210500
1210502,1210500
1210503,1210500
1210504,1210500
1210505,1210500
1210799,1210790
1210902,1210790
1210903,1210790
1211101,1211100
1211102,1211100
1211103,1211100
1211300,1211300
1211501,1211500
1211502,1211500
1211503,1211500
1211701,1211700
1211702,1211700
1211703,1211700
1211704,1211700
1211900,1211900
1212701,1212700
1212702,1212700
1212703,1212700
1212704,1212700
1300100,1300100
1300200,1300200
1300300,1300300
1300400,1300400
1300500,1300500
1300601,1300600
1300602,1300600
1300701,1300700
1300702,1300700
1300801,1300800
1300802,1300800
1300900,1300900
1301000,1301000
1301100,1301100
1301200,1301200
1301301,1301300
1301302,1301300
1301303,1301300
1301304,1301300
1301305,1301300
1301401,1301400
1301402,1301400
1301403,1301400
1301404,1301400
1301405,1301400
1301406,1301400
1301407,1301400
1301408,1301400
1301501,1301500
1301502,1301500
1301503,1301500
1301504,1301500
1301505,1301500
1301506,1301500
1301601,1301600
1301602,1301600
1301603,1301600
1301604,1301600
1301605,1301600
1301606,1301600
1301607,1301600
1301700,1301700
1301800,1301800
1301900,1301900
1302000,1302000
1302100,1302100
1302201,1302200
1302202,1302200
1302301,1302300
1302302,1302300
1302400,1302400
1302500,1302500
1302600,1302600
1302700,1302700
1302800,1302800
1302900,1302900
1303000,1303000
1303100,1303100
1303200,1303200
1303301,1303300
1303302,1303300
1303400,1303400
1303500,1303500
1303600,1303600
1303700,1303700
1303800,1303800
1303900,1303900
1304000,1304000
1304100,1304100
1304200,1304200
1304300,1304300
1304400,1304400
1304500,1304500
1304600,1304600
1304701,1304700
1304702,1304700
1304800,1304800
1500100,1500100
1500200,1500200
1500301,1500300
1500302,1500300
1500303,1500300
1500304,1500300
1500305,1500300
1500306,1500300
1500307,1500300
1500308,1500300
1600100,1600190
1600200,1600190
1600300,1600300
1600400,1600490
1600500,1600490
1600600,1600490
1600701,1600490
1600702,1600490
1600800,1600490
1600900,1600900
1601000,1601000
1601100,1601190
1601300,1601190
1601200,1601200
1700100,1700100
1700701,1700790
1720101,1700790
1701901,1701903
1701902,1701903
1702900,1702900
1703101,1703100
1703102,1703100
1703103,1703100
1703104,1703100
1703105,1703100
1703106,1703100
1703107,1703100
1703108,1703100
1703109,1703100
1703110,1703100
1703111,1703100
1703112,1703100
1703113,1703100
1703114,1703100
1703115,1703100
1703116,1703100
1703117,1703100
1703118,1703100
1703151,1703100
1703152,1703100
1703153,1703100
1703154,1703100
1703155,1703100
1703156,1703100
1703157,1703100
1703158,1703100
1703159,1703100
1703160,1703100
1703161,1703100
1703162,1703100
1703163,1703100
1703164,1703100
1703165,1703100
1703166,1703100
1703167,1703100
1703168,1703100
1703700,1703700
