ST_COUNTY,ST_CO_PUMA
1700131,1700202
1700133,1701001
1700135,1700501
1700137,1700401
1700139,1701602
1700141,1702700
1700143,1701701
1700145,1700900
1700147,1701602
1700149,1700300
1700151,1700800
1700153,1700800
1700155,1702501
1700157,1701001
1700159,1700700
1700161,1700105
1700163,1701100
1700165,1700800
1700167,1701300
1700169,1700300
1700171,1700401
1700173,1701602
1700175,1702501
1700177,1702700
1700179,1701900
1700181,1700800
1700183,1702200
1700185,1700800
1700187,1700202
1700189,1701001
1700191,1700700
1700193,1700800
1700195,1700104
1700197,1703100
1700199,1700900
1700201,1702890
1700203,1702501
1800001,1800900
1800003,1801000
1800005,1802900
1800007,1801100
1800009,1801500
1800011,1801800
1800013,1802100
1800015,1801100
1800017,1801300
1800019,1803600
1800021,1801600
1800023,1801100
1800025,1803400
1800027,1802700
1800029,1803100
1800031,1803000
1800033,1800600
1800035,1802000
1800037,1803400
1800039,1800500
1800041,1802600
1800043,1803500
1800045,1801600
1800047,1803100
1800049,1800700
1800051,1803200
1800053,1801400
1800055,1802700
1800057,1801800
1800059,1802500
1800061,1803500
1800063,1802200
1800065,1801500
1800067,1801300
1800069,1800900
1800071,1802900
1800073,1800700
1800075,1801500
1800077,1803000
1800079,1803000
1800081,1802400
1800083,1803400
1800085,1800800
1800087,1800600
1800089,1800100
1800091,1800300
1800093,1802700
1800095,1801900
1800097,1802300
1800099,1800800
1800101,1802700
1800103,1801400
1800105,1802800
1800107,1801100
1800109,1802100
1800111,1800700
1800113,1800600
1800115,1803100
1800117,1802700
1800119,1802700
1800121,1801600
1800123,1803400
1800125,1803400
1800127,1800200
1800129,1803200
1800131,1800700
1800133,1802100
1800135,1801500
1800137,1803100
1800139,1802600
1800141,1800400
1800143,1803000
1800145,1802500
1800147,1803400
1800149,1800700
1800151,1800600
1800153,1801600
1800155,1803100
1800157,1801200
1800159,1801300
1800161,1802600
1800163,1803300
1800165,1801600
1800167,1801700
1800169,1801400
1800171,1801600
1800173,1803200
1800175,1803500
1800177,1802600
1800179,1800900
1800181,1801100
1800183,1800900
1900001,1901800
1900003,1901800
1900005,1900400
1900007,1901800
1900009,1901800
1900011,1901200
1900013,1900500
1900015,1901300
1900017,1900400
1900019,1900700
1900021,1901900
1900023,1900600
1900025,1901900
1900027,1901900
1900029,1902100
1900031,1900800
1900033,1900200
1900035,1901900
1900037,1900400
1900039,1901800
1900041,1900100
1900043,1900400
1900045,1900800
1900047,1901900
1900049,1901490
1900051,1902200
1900053,1901800
1900055,1900700
1900057,1902300
1900059,1900100
1900061,1900700
1900063,1900100
1900065,1900400
1900067,1900200
1900069,1900600
1900071,1902100
1900073,1901900
1900075,1900600
1900077,1901800
1900079,1900600
1900081,1900200
1900083,1900600
1900085,1902100
1900087,1902300
1900089,1900400
1900091,1900600
1900093,1901900
1900095,1901200
1900097,1900700
1900099,1901490
1900101,1902200
1900103,1901100
1900105,1900800
1900107,1902200
1900109,1900200
1900111,1902300
1900113,1901000
1900115,1902300
1900117,1901800
1900119,1900100
1900121,1901490
1900123,1902200
1900125,1901490
1900127,1901200
1900129,1902100
1900131,1900200
1900133,1901900
1900135,1901800
1900137,1902100
1900139,1900800
1900141,1900100
1900143,1900100
1900145,1902100
1900147,1900100
1900149,1902000
1900151,1901900
1900153,1901490
1900155,1902100
1900157,1901200
1900159,1901800
1900161,1901900
1900163,1900900
1900165,1902100
1900167,1900100
1900169,1901300
1900171,1901200
1900173,1901800
1900175,1901800
1900177,1902200
1900179,1902200
1900181,1901490
1900183,1902200
1900185,1901800
1900187,1900600
1900189,1900200
1900191,1900400
1900193,1902000
1900195,1900200
1900197,1900600
2000001,2001400
2000003,2001400
2000005,2000400
2000007,2000990
2000009,2000990
2000011,2001400
2000013,2000800
2000015,2001300
2000017,2000990
2000019,2000990
2000021,2001500
2000023,2000100
2000025,2001200
2000027,2000200
2000029,2000200
2000031,2000990
2000033,2000990
2000035,2000990
2000037,2001500
2000039,2000100
2000041,2000200
2000043,2000400
2000045,2000700
2000047,2000990
2000049,2000990
2000051,2000100
2000053,2000200
2000055,2001200
2000057,2001200
2000059,2001400
2000061,2000300
2000063,2000100
2000065,2000100
2000067,2001200
2000069,2001200
2000071,2000100
2000073,2000990
2000075,2001200
2000077,2000990
2000079,2001300
2000081,2001200
2000083,2001200
2000085,2000800
2000087,2000400
2000089,2000200
2000091,2000600
2000093,2001200
2000095,2000990
2000097,2000990
2000099,2001500
2000101,2000100
2000103,2000400
2000105,2000200
2000107,2001400
2000109,2000100
2000111,2000990
2000113,2001000
2000115,2000990
2000117,2000200
2000119,2001200
2000121,2001400
2000123,2000200
2000125,2001500
2000127,2000990
2000129,2001200
2000131,2000200
2000133,2001500
2000135,2000100
2000137,2000100
2000139,2000800
2000141,2000100
2000143,2000200
2000145,2000990
2000147,2000100
2000149,2000300
2000151,2000990
2000153,2000100
2000155,2001000
2000157,2000200
2000159,2001000
2000161,2000300
2000163,2000100
2000165,2000990
2000167,2000100
2000169,2000200
2000171,2000100
2000173,2001300
2000175,2001200
2000177,2000800
2000179,2000100
2000181,2000100
2000183,2000100
2000185,2000990
2000187,2001200
2000189,2001200
2000191,2000990
2000193,2000100
2000195,2000100
2000197,2000800
2000199,2000100
2000201,2000200
2000203,2000100
2000205,2000990
2000207,2000990
2000209,2000500
2100001,2100600
2100003,2100400
2100005,2102000
2100007,2100100
2100009,2100400
2100011,2102700
2100013,2100900
2100015,2102500
2100017,2102300
2100019,2102800
2100021,2102100
2100023,2102700
2100025,2101000
2100027,2101290
2100029,2101690
2100031,2100400
2100033,2100200
2100035,2100100
2100037,2102600
2100039,2100100
2100041,2102600
2100043,2102800
2100045,2100600
2100047,2100300
2100049,2102300
2100051,2100800
2100053,2100600
2100055,2100200
2100057,2100600
2100059,2101500
2100061,2100400
2100063,2102800
2100065,2102200
2100067,2101900
2100069,2102700
2100071,2101100
2100073,2102000
2100075,2100100
2100077,2102600
2100079,2102100
2100081,2102600
2100083,2100100
2100085,2101290
2100087,2100600
2100089,2102800
2100091,2101500
